input_prompt,true_ans,closest_ans,exact solution found
Bi[[0000000000000000][0070000000000000][0770000000000000][1111000000000000][0001000077000000][1010000070000000][0111000101100000][0000000111100000][0000000100100000][0000000000000000][0000000000000000][0007700000000000][0000700000000000][0001011000000000][0000111000000000][0001001000000000][0000000000000000][0000000000000000][0000000000000000][0000000000000000]]to[[0000000000000000][0000000000000000][0000000000000000][3333000000000000][0003000000000000][3030000000000000][0333000606600000][0000000666600000][0000000600600000][0000000000000000][0000000000000000][0000000000000000][0000000000000000][0004044000000000][0000444000000000][0004004000000000][0000000000000000][0000000000000000][0000000000000000][0000000000000000]]i[[000000000000][070000000000][077000000000][101100070000][010000770000][111001101000][000000111000][000000101000]]to[[000000000000][000000000000][000000000000][808800000000][080000000000][888003303000][000000333000][000000303000]]EtttttTi[[00000000000][00000077000][00000070000][07700111000][00700011100][10100010100][01110000000][01010000000][00000000000]]o,[[00000000000][00000000000][00000000000][00000666000][00000066600][40400060600][04440000000][04040000000][00000000000]]F,[[00000000000][00000000000][00000000000][07000070000][07000000700][07700070700][00000000000][00000000000][00000000000]]F,
Bi[[000000000000][070000000000][077000000000][101100070000][010000770000][111001101000][000000111000][000000101000]]to[[000000000000][000000000000][000000000000][808800000000][080000000000][888003303000][000000333000][000000303000]]i[[0000000000000000][0070000000000000][0770000000000000][1111000000000000][0001000077000000][1010000070000000][0111000101100000][0000000111100000][0000000100100000][0000000000000000][0000000000000000][0007700000000000][0000700000000000][0001011000000000][0000111000000000][0001001000000000][0000000000000000][0000000000000000][0000000000000000][0000000000000000]]to[[0000000000000000][0000000000000000][0000000000000000][3333000000000000][0003000000000000][3030000000000000][0333000606600000][0000000666600000][0000000600600000][0000000000000000][0000000000000000][0000000000000000][0000000000000000][0004044000000000][0000444000000000][0004004000000000][0000000000000000][0000000000000000][0000000000000000][0000000000000000]]EtttttTi[[00000000000][00000077000][00000070000][07700111000][00700011100][10100010100][01110000000][01010000000][00000000000]]o,[[00000000000][00000000000][00000000000][00000666000][00000066600][40400060600][04440000000][04040000000][00000000000]]F,[[00000000000][00000000000][00000000000][00000000000][00000000000][00000077000][17770000000][03017700000][03000700000]]F,
Bi[[0000000000000000][0070000000000000][0770000000000000][1111000000000000][0001000077000000][1010000070000000][0111000101100000][0000000111100000][0000000100100000][0000000000000000][0000000000000000][0007700000000000][0000700000000000][0001011000000000][0000111000000000][0001001000000000][0000000000000000][0000000000000000][0000000000000000][0000000000000000]]to[[0000000000000000][0000000000000000][0000000000000000][3333000000000000][0003000000000000][3030000000000000][0333000606600000][0000000666600000][0000000600600000][0000000000000000][0000000000000000][0000000000000000][0000000000000000][0004044000000000][0000444000000000][0004004000000000][0000000000000000][0000000000000000][0000000000000000][0000000000000000]]i[[000000000000][077000000000][070000007000][111000077000][011000111100][100000010100][000000001000][000000000000][000077000000][000007000000][000110100700][000101000770][000011001101][000000000111][000000001100]]to[[000000000000][000000000000][000000000000][666000000000][066000333300][600000030300][000000003000][000000000000][000000000000][000000000000][000440400000][000404000000][000044008808][000000000888][000000008800]]EtttttTi[[00000000000][00000077000][00000070000][07700111000][00700011100][10100010100][01110000000][01010000000][00000000000]]o,[[00000000000][00000000000][00000000000][00000666000][00000066600][40400060600][04440000000][04040000000][00000000000]]F,[[00000000000][00000000000][00000000000][00777000000][00707007000][11100011100][01000000000][00000000000][00000000000]]F,
Bi[[000000000000][077000000000][070000007000][111000077000][011000111100][100000010100][000000001000][000000000000][000077000000][000007000000][000110100700][000101000770][000011001101][000000000111][000000001100]]to[[000000000000][000000000000][000000000000][666000000000][066000333300][600000030300][000000003000][000000000000][000000000000][000000000000][000440400000][000404000000][000044008808][000000000888][000000008800]]i[[0000000000000000][0070000000000000][0770000000000000][1111000000000000][0001000077000000][1010000070000000][0111000101100000][0000000111100000][0000000100100000][0000000000000000][0000000000000000][0007700000000000][0000700000000000][0001011000000000][0000111000000000][0001001000000000][0000000000000000][0000000000000000][0000000000000000][0000000000000000]]to[[0000000000000000][0000000000000000][0000000000000000][3333000000000000][0003000000000000][3030000000000000][0333000606600000][0000000666600000][0000000600600000][0000000000000000][0000000000000000][0000000000000000][0000000000000000][0004044000000000][0000444000000000][0004004000000000][0000000000000000][0000000000000000][0000000000000000][0000000000000000]]EtttttTi[[00000000000][00000077000][00000070000][07700111000][00700011100][10100010100][01110000000][01010000000][00000000000]]o,[[00000000000][00000000000][00000000000][00000666000][00000066600][40400060600][04440000000][04040000000][00000000000]]F,[[00000000000][00000077000][00000000000][00777770000][00770001100][01100010000][11110000000][00000000000][00000000000]]F,
Bi[[0000000000000000][0070000000000000][0770000000000000][1111000000000000][0001000077000000][1010000070000000][0111000101100000][0000000111100000][0000000100100000][0000000000000000][0000000000000000][0007700000000000][0000700000000000][0001011000000000][0000111000000000][0001001000000000][0000000000000000][0000000000000000][0000000000000000][0000000000000000]]to[[0000000000000000][0000000000000000][0000000000000000][3333000000000000][0003000000000000][3030000000000000][0333000606600000][0000000666600000][0000000600600000][0000000000000000][0000000000000000][0000000000000000][0000000000000000][0004044000000000][0000444000000000][0004004000000000][0000000000000000][0000000000000000][0000000000000000][0000000000000000]]i[[000000000000][070000000000][077000000000][101100070000][010000770000][111001101000][000000111000][000000101000]]to[[000000000000][000000000000][000000000000][808800000000][080000000000][888003303000][000000333000][000000303000]]EttttttTi[[000000000000][077000000000][070000007000][111000077000][011000111100][100000010100][000000001000][000000000000][000077000000][000007000000][000110100700][000101000770][000011001101][000000000111][000000001100]]o,[[000000000000][000000000000][000000000000][666000000000][066000333300][600000030300][000000003000][000000000000][000000000000][000000000000][000440400000][000404000000][000044008808][000000000888][000000008800]]F,[[000000000000][077000000000][070000000000][077000007700][077000710000][070000000077][000000000000][000000000000][000000000000][000077770000][000077000000][000077700000][000077700000][000000000000][000000000000]]F,
Bi[[000000000000][070000000000][077000000000][101100070000][010000770000][111001101000][000000111000][000000101000]]to[[000000000000][000000000000][000000000000][808800000000][080000000000][888003303000][000000333000][000000303000]]i[[0000000000000000][0070000000000000][0770000000000000][1111000000000000][0001000077000000][1010000070000000][0111000101100000][0000000111100000][0000000100100000][0000000000000000][0000000000000000][0007700000000000][0000700000000000][0001011000000000][0000111000000000][0001001000000000][0000000000000000][0000000000000000][0000000000000000][0000000000000000]]to[[0000000000000000][0000000000000000][0000000000000000][3333000000000000][0003000000000000][3030000000000000][0333000606600000][0000000666600000][0000000600600000][0000000000000000][0000000000000000][0000000000000000][0000000000000000][0004044000000000][0000444000000000][0004004000000000][0000000000000000][0000000000000000][0000000000000000][0000000000000000]]EttttttTi[[000000000000][077000000000][070000007000][111000077000][011000111100][100000010100][000000001000][000000000000][000077000000][000007000000][000110100700][000101000770][000011001101][000000000111][000000001100]]o,[[000000000000][000000000000][000000000000][666000000000][066000333300][600000030300][000000003000][000000000000][000000000000][000000000000][000440400000][000404000000][000044008808][000000000888][000000008800]]F,[[000000000000][077000000000][077000770000][077000710000][00700000111100][00000000111100][000000000000][00000000000000][000070000000][000077700000][00777000077770][00000000077000][00000000000000][00000000000000]]F,
Bi[[00000000000][00000077000][00000070000][07700111000][00700011100][10100010100][01110000000][01010000000][00000000000]]to[[00000000000][00000000000][00000000000][00000666000][00000066600][40400060600][04440000000][04040000000][00000000000]]i[[000000000000][070000000000][077000000000][101100070000][010000770000][111001101000][000000111000][000000101000]]to[[000000000000][000000000000][000000000000][808800000000][080000000000][888003303000][000000333000][000000303000]]EttttTi[[000000][007000][077000][101100][011100][110000][000000][000000]]o,[[000000][000000][000000][303300][033300][330000][000000][000000]]F,[[000000][000000][077000][777100][071100][000000][000000][000000]]F,
Bi[[000000000000][070000000000][077000000000][101100070000][010000770000][111001101000][000000111000][000000101000]]to[[000000000000][000000000000][000000000000][808800000000][080000000000][888003303000][000000333000][000000303000]]i[[00000000000][00000077000][00000070000][07700111000][00700011100][10100010100][01110000000][01010000000][00000000000]]to[[00000000000][00000000000][00000000000][00000666000][00000066600][40400060600][04440000000][04040000000][00000000000]]EttttTi[[000000][007000][077000][101100][011100][110000][000000][000000]]o,[[000000][000000][000000][303300][033300][330000][000000][000000]]F,[[000000][000000][007000][777000][077000][000000][000000][000000]]F,
Bi[[000000][007000][077000][101100][011100][110000][000000][000000]]to[[000000][000000][000000][303300][033300][330000][000000][000000]]i[[000000000000][077000000000][070000007000][111000077000][011000111100][100000010100][000000001000][000000000000][000077000000][000007000000][000110100700][000101000770][000011001101][000000000111][000000001100]]to[[000000000000][000000000000][000000000000][666000000000][066000333300][600000030300][000000003000][000000000000][000000000000][000000000000][000440400000][000404000000][000044008808][000000000888][000000008800]]EtttttTi[[00000000000][00000077000][00000070000][07700111000][00700011100][10100010100][01110000000][01010000000][00000000000]]o,[[00000000000][00000000000][00000000000][00000666000][00000066600][40400060600][04440000000][04040000000][00000000000]]F,[[00000000000][00000000000][00000000000][00000000000][00770071000][77700070000][07700070000][07700071000][03300000000]]F,
Bi[[00000000000][00000077000][00000070000][07700111000][00700011100][10100010100][01110000000][01010000000][00000000000]]to[[00000000000][00000000000][00000000000][00000666000][00000066600][40400060600][04440000000][04040000000][00000000000]]i[[000000000000][077000000000][070000007000][111000077000][011000111100][100000010100][000000001000][000000000000][000077000000][000007000000][000110100700][000101000770][000011001101][000000000111][000000001100]]to[[000000000000][000000000000][000000000000][666000000000][066000333300][600000030300][000000003000][000000000000][000000000000][000000000000][000440400000][000404000000][000044008808][000000000888][000000008800]]EttttTi[[000000][007000][077000][101100][011100][110000][000000][000000]]o,[[000000][000000][000000][303300][033300][330000][000000][000000]]F,[[000000][000000][077000][777100][011100][000000][000000][000000]]F,
Bi[[000000000000][077000000000][070000007000][111000077000][011000111100][100000010100][000000001000][000000000000][000077000000][000007000000][000110100700][000101000770][000011001101][000000000111][000000001100]]to[[000000000000][000000000000][000000000000][666000000000][066000333300][600000030300][000000003000][000000000000][000000000000][000000000000][000440400000][000404000000][000044008808][000000000888][000000008800]]i[[000000][007000][077000][101100][011100][110000][000000][000000]]to[[000000][000000][000000][303300][033300][330000][000000][000000]]EtttttTi[[00000000000][00000077000][00000070000][07700111000][00700011100][10100010100][01110000000][01010000000][00000000000]]o,[[00000000000][00000000000][00000000000][00000666000][00000066600][40400060600][04440000000][04040000000][00000000000]]F,[[00000000000][00000000000][00000000000][00000000000][00770071110][70000070010][07700000000][07700000000][00000000000]]F,
Bi[[000000000000][077000000000][070000007000][111000077000][011000111100][100000010100][000000001000][000000000000][000077000000][000007000000][000110100700][000101000770][000011001101][000000000111][000000001100]]to[[000000000000][000000000000][000000000000][666000000000][066000333300][600000030300][000000003000][000000000000][000000000000][000000000000][000440400000][000404000000][000044008808][000000000888][000000008800]]i[[00000000000][00000077000][00000070000][07700111000][00700011100][10100010100][01110000000][01010000000][00000000000]]to[[00000000000][00000000000][00000000000][00000666000][00000066600][40400060600][04440000000][04040000000][00000000000]]EttttTi[[000000][007000][077000][101100][011100][110000][000000][000000]]o,[[000000][000000][000000][303300][033300][330000][000000][000000]]F,[[000000][007000][077000][077100][007100][000000][000000][000000]]F,
Bi[[000000000000][070000000000][077000000000][101100070000][010000770000][111001101000][000000111000][000000101000]]to[[000000000000][000000000000][000000000000][808800000000][080000000000][888003303000][000000333000][000000303000]]i[[000000000000][077000000000][070000007000][111000077000][011000111100][100000010100][000000001000][000000000000][000077000000][000007000000][000110100700][000101000770][000011001101][000000000111][000000001100]]to[[000000000000][000000000000][000000000000][666000000000][066000333300][600000030300][000000003000][000000000000][000000000000][000000000000][000440400000][000404000000][000044008808][000000000888][000000008800]]EttttTi[[000000][007000][077000][101100][011100][110000][000000][000000]]o,[[000000][000000][000000][303300][033300][330000][000000][000000]]F,[[000000][000000][000000][077000][077000][007000][000000][000000]]F,
Bi[[000000000000][077000000000][070000007000][111000077000][011000111100][100000010100][000000001000][000000000000][000077000000][000007000000][000110100700][000101000770][000011001101][000000000111][000000001100]]to[[000000000000][000000000000][000000000000][666000000000][066000333300][600000030300][000000003000][000000000000][000000000000][000000000000][000440400000][000404000000][000044008808][000000000888][000000008800]]i[[000000000000][070000000000][077000000000][101100070000][010000770000][111001101000][000000111000][000000101000]]to[[000000000000][000000000000][000000000000][808800000000][080000000000][888003303000][000000333000][000000303000]]EttttTi[[000000][007000][077000][101100][011100][110000][000000][000000]]o,[[000000][000000][000000][303300][033300][330000][000000][000000]]F,[[000000][000000][077000][077000][077100][000000][000000][000000]]F,
Bi[[000000000000][070000000000][077000000000][101100070000][010000770000][111001101000][000000111000][000000101000]]to[[000000000000][000000000000][000000000000][808800000000][080000000000][888003303000][000000333000][000000303000]]i[[000000000000][077000000000][070000007000][111000077000][011000111100][100000010100][000000001000][000000000000][000077000000][000007000000][000110100700][000101000770][000011001101][000000000111][000000001100]]to[[000000000000][000000000000][000000000000][666000000000][066000333300][600000030300][000000003000][000000000000][000000000000][000000000000][000440400000][000404000000][000044008808][000000000888][000000008800]]EtttttTi[[00000000000][00000077000][00000070000][07700111000][00700011100][10100010100][01110000000][01010000000][00000000000]]o,[[00000000000][00000000000][00000000000][00000666000][00000066600][40400060600][04440000000][04040000000][00000000000]]F,[[00000000000][00000000000][00000000000][00700070000][10700001100][07700010000][11000000000][00077000000][00000000000]]F,
Bi[[000000000000][077000000000][070000007000][111000077000][011000111100][100000010100][000000001000][000000000000][000077000000][000007000000][000110100700][000101000770][000011001101][000000000111][000000001100]]to[[000000000000][000000000000][000000000000][666000000000][066000333300][600000030300][000000003000][000000000000][000000000000][000000000000][000440400000][000404000000][000044008808][000000000888][000000008800]]i[[00000000000][00000077000][00000070000][07700111000][00700011100][10100010100][01110000000][01010000000][00000000000]]to[[00000000000][00000000000][00000000000][00000666000][00000066600][40400060600][04440000000][04040000000][00000000000]]EtttttTi[[000000000000][070000000000][077000000000][101100070000][010000770000][111001101000][000000111000][000000101000]]o,[[000000000000][000000000000][000000000000][808800000000][080000000000][888003303000][000000333000][000000303000]]F,[[000000000000][077000000000][077000000000][077700000000][077000770000][000000777000][000000111000][000000001000]]F,
Bi[[000000000000][077000000000][070000007000][111000077000][011000111100][100000010100][000000001000][000000000000][000077000000][000007000000][000110100700][000101000770][000011001101][000000000111][000000001100]]to[[000000000000][000000000000][000000000000][666000000000][066000333300][600000030300][000000003000][000000000000][000000000000][000000000000][000440400000][000404000000][000044008808][000000000888][000000008800]]i[[000000000000][070000000000][077000000000][101100070000][010000770000][111001101000][000000111000][000000101000]]to[[000000000000][000000000000][000000000000][808800000000][080000000000][888003303000][000000333000][000000303000]]EtttttTi[[00000000000][00000077000][00000070000][07700111000][00700011100][10100010100][01110000000][01010000000][00000000000]]o,[[00000000000][00000000000][00000000000][00000666000][00000066600][40400060600][04440000000][04040000000][00000000000]]F,[[00000000000][00000000000][00000007000][00700011100][00700070000][77700000000][07700000000][00000000000][00000000000]]F,
Bi[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]to[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]i[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]to[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]EttttTi[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]o,[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]F,[[2281000][2844000][2244000][0444000][0000000][0000000][0000000]]F,
Bi[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]to[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]i[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]to[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]EttttTi[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]o,[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]F,[[0200014][2220140][0244100][0441000][0004400][0004000][0000000]]F,
Bi[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]to[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]i[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]to[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]EttttTi[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]o,[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]F,[[8820000][8888000][0822000][0222000][0000000][0000000][0000000]]F,
Bi[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]to[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]i[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]to[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]EttttTi[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]o,[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]F,[[0022000][2222220][0110000][0111100][0000000][0000000][0000000]]F,
Bi[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]to[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]i[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]to[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]EttttTi[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]o,[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]F,[[0012000][2201120][0110120][0110200][0044000][0000000][0000000]]F,
Bi[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]to[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]i[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]to[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]EttttTi[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]o,[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]F,[[0022000][2244400][0444400][0444400][0044400][0000000][0000000]]F,
Bi[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]to[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]i[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]to[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]EttttTi[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]o,[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]F,[[0210010][2440140][0440440][0444040][0011000][0000000][0000000]]F,
Bi[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]to[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]i[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]to[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]EttttTi[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]o,[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]F,[[0012000][1111100][0121000][0000100][0000100][0000000][0000000]]F,
Bi[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]to[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]i[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]to[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]EttttTi[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]o,[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]F,[[0244000][2244440][0240400][0210100][0014100][0014000][0000100]]F,
Bi[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]to[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]i[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]to[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]EttttTi[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]o,[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]F,[[0012040][1214440][0441040][0444000][0000000][0000000][0000000]]F,
Bi[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]to[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]i[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]to[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]EttttTi[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]o,[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]F,[[0121000][2211440][0144000][0014400][0000000][0000000][0000000]]F,
Bi[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]to[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]i[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]to[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]EttttTi[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]o,[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]F,[[8888000][8888000][8888000][0220000][0000000][0000000][0000000]]F,
Bi[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]to[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]i[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]to[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]EttttTi[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]o,[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]F,[[2222110][2211000][2211000][0044400][0000000][0000000][0000000]]F,
Bi[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]to[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]i[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]to[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]EttttTi[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]o,[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]F,[[0021400][1214400][0414000][0444400][0000000][0000000][0000000]]F,
Bi[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]to[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]i[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]to[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]EttttTi[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]o,[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]F,[[1110000][1441000][1441000][0000000][0000000][0000000][0000000]]F,
Bi[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]to[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]i[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]to[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]EttttTi[[0088000][8888800][0880880][0888800][0008800][0000000][0000000]]o,[[0011000][3311400][0320440][0221100][0001100][0000000][0000000]]F,[[0012000][1211100][0121000][0144400][0000100][0000000][0000000]]F,
Bi[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]to[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]i[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]to[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]EttttTi[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]o,[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]F,[[0220110][2211100][0444440][0444100][0000000][0000000][0000000]]F,
Bi[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]to[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]i[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]to[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]EttttTi[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]o,[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]F,[[2220000][2222000][2444000][0444000][0000000][0000000][0000000]]F,
Bi[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]to[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]i[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]to[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]EttttTi[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]o,[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]F,[[0244400][2244440][0444000][0444400][0000000][0000000][0000000]]F,
Bi[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]to[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]i[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]to[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]EttttTi[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]o,[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]F,[[0220012][1100120][0110440][0444440][0000000][0000000][0000000]]F,
Bi[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]to[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]i[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]to[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]EttttTi[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]o,[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]F,[[2220000][2244000][2224000][0444000][0000000][0000000][0000000]]F,
Bi[[0880880][8888880][0880800][0088800][0000000][0000000][0000000]]to[[0240110][2244110][0330200][0032200][0000000][0000000][0000000]]i[[8880000][8888000][8808000][0888000][0000000][0000000][0000000]]to[[1140000][1144000][3302000][0322000][0000000][0000000][0000000]]EttttTi[[0800800][8800880][0880880][0880880][0088000][0008000][0000000]]o,[[0200400][2200440][0110110][0110110][0033000][0003000][0000000]]F,[[0820800][8802820][0882800][0888000][0004000][0004000][0000000]]F,
Bi[[50050][50050][50555][55500][00500][00555][00050][55550][05000][05000][05550][00050][05555][55000][05000]]to[[50050][50050][50555][55500][00500][00555][00058][55558][05888][05888][05558][00058][05555][55000][75000]]i[[050050000500][050055500500][055550500500][005000555500][555000500555][000000500000][000555500000][555500500000][000500555000][000500005000]]to[[057750000500][057755500500][055550500500][005000555500][555000588555][000000588888][000555588888][555500588888][000500555888][000500005888]]EtttttTi[[005005000][005555000][555000000][050000000][050005555][055555000][550005555][000005000][555555000][000005000]]o,[[005775888][005555888][555888888][058888888][058885555][055555000][550005555][000005000][555555000][000005000]]F,[[005005000][005555000][550000000][050000000][050000055][550005005][055550005][000005000][555500000][100005000]]F,
Bi[[050000050050][050005550550][555005055500][005555050550][000500050050]]to[[758888850050][758885550550][555885055500][005555050550][000500050050]]i[[50050][50050][50555][55500][00500][00555][00050][55550][05000][05000][05550][00050][05555][55000][05000]]to[[50050][50050][50555][55500][00500][00555][00058][55558][05888][05888][05558][00058][05555][55000][75000]]EtttttTi[[005005000][005555000][555000000][050000000][050005555][055555000][550005555][000005000][555555000][000005000]]o,[[005775888][005555888][555888888][058888888][058885555][055555000][550005555][000005000][555555000][000005000]]F,[[005005000][555555000][555888500][058888500][058850000][050005555][055555000][888885000][555555000][888885000]]F,
Bi[[050050000500][050055500500][055550500500][005000555500][555000500555][000000500000][000555500000][555500500000][000500555000][000500005000]]to[[057750000500][057755500500][055550500500][005000555500][555000588555][000000588888][000555588888][555500588888][000500555888][000500005888]]i[[50050][50050][50555][55500][00500][00555][00050][55550][05000][05000][05550][00050][05555][55000][05000]]to[[50050][50050][50555][55500][00500][00555][00058][55558][05888][05888][05558][00058][05555][55000][75000]]EttttTi[[050000050050][050005550550][555005055500][005555050550][000500050050]]o,[[758888850050][758885550550][555885055500][005555050550][000500050050]]F,[[0588885000][5550055550][5550885550][00558850][0005880550][0005880050]]F,
Bi[[050000050050][050005550550][555005055500][005555050550][000500050050]]to[[758888850050][758885550550][555885055500][005555050550][000500050050]]i[[050050000500][050055500500][055550500500][005000555500][555000500555][000000500000][000555500000][555500500000][000500555000][000500005000]]to[[057750000500][057755500500][055550500500][005000555500][555000588555][000000588888][000555588888][555500588888][000500555888][000500005888]]EtttttTi[[50050][50050][50555][55500][00500][00555][00050][55550][05000][05000][05550][00050][05555][55000][05000]]o,[[50050][50050][50555][55500][00500][00555][00058][55558][05888][05888][05558][00058][05555][55000][75000]]F,[[50050][50050][55555][55588][00588][00588][00580][00588][55555][05888][05550][00058][88888][00540][05888]]F,
